Date,Open,High,Low,Close,Difference,Shares Traded,Turnover (Rs. Cr),EHL,VHL,HL,N,HP,VHP,EHP,Status
29-May-08,4926.3,4957.4,4801.9,4835.3,91,194902303,9838.88,0,0,0,0,0,1,0,5
30-May-08,4844.05,4908.85,4833.45,4870.1,-26.05,138696130,7722.67,0,0,1,0,0,0,0,2
02-Jun-08,4869.25,4908.8,4713,4739.6,129.65,118396812,5991.2,0,0,0,0,0,1,0,5
03-Jun-08,4739.3,4739.3,4634,4715.9,23.4,140745401,6764.13,0,0,0,0,1,0,0,4
04-Jun-08,4718.7,4731.5,4564.5,4585.6,133.1,154838181,7308.81,0,0,0,0,0,1,0,5
05-Jun-08,4586.95,4690.6,4536.25,4676.95,-90,169638133,9560.6,0,1,0,0,0,0,0,1
06-Jun-08,4680.55,4746.3,4614.25,4627.8,52.75,132088975,7052.47,0,0,0,0,0,1,0,5
09-Jun-08,4626.45,4626.45,4411.6,4500.95,125.5,175247907,8431.34,0,0,0,0,0,1,0,5
10-Jun-08,4522,4522.55,4369.8,4449.8,72.2,165412516,8214.7,0,0,0,0,0,1,0,5
11-Jun-08,4469.65,4541.05,4468.05,4523.6,-53.95,166416446,8126.26,0,1,0,0,0,0,0,1
12-Jun-08,4524.4,4550,4392,4539.35,-14.95,164247033,7653.56,0,0,0,1,0,0,0,3
13-Jun-08,4539.5,4563.35,4491.35,4517.1,22.4,139532826,6339.8,0,0,0,0,1,0,0,4
16-Jun-08,4536.3,4617.7,4536.3,4572.5,-36.2,111415055,5652.28,0,0,1,0,0,0,0,2
17-Jun-08,4572.5,4664.05,4561.75,4653,-80.5,107221118,5511.88,0,1,0,0,0,0,0,1
18-Jun-08,4652.8,4679.75,4569.9,4582.4,70.4,136923928,6135.84,0,0,0,0,0,1,0,5
19-Jun-08,4582.55,4585.7,4488.95,4504.25,78.3,102266764,4954.97,0,0,0,0,0,1,0,5
20-Jun-08,4504.2,4532,4333.6,4347.55,156.65,133685260,6911.03,0,0,0,0,0,1,0,5
23-Jun-08,4351.15,4351.15,4225.5,4266.4,84.75,126376126,6121.52,0,0,0,0,0,1,0,5
24-Jun-08,4271.05,4305.9,4156.1,4191.1,79.95,132477086,6496.81,0,0,0,0,0,1,0,5
25-Jun-08,4189.6,4264.55,4093.2,4252.65,-63.05,152437781,6960.36,0,1,0,0,0,0,0,1
26-Jun-08,4252.6,4324.75,4230,4315.85,-63.25,196473131,9352.43,0,1,0,0,0,0,0,1
27-Jun-08,4315.3,4315.3,4119.2,4136.65,178.65,177324470,7883.16,0,0,0,0,0,1,0,5
30-Jun-08,4136.25,4163,4021.7,4040.55,95.7,144491241,6523.86,0,0,0,0,0,1,0,5
01-Jul-08,4039.75,4075.4,3878.2,3896.75,143,164469220,6939.93,0,0,0,0,0,1,0,5
02-Jul-08,3895.3,4107.15,3848.25,4093.35,-198.05,199920144,8909.44,0,1,0,0,0,0,0,1
03-Jul-08,4094.6,4097.35,3874.85,3925.75,168.85,154573765,7101.42,0,0,0,0,0,1,0,5
04-Jul-08,3926.65,4033.5,3896.4,4016,-89.35,152045352,6563.36,0,1,0,0,0,0,0,1
07-Jul-08,4002,4114.5,4002,4030,-28,125737237,5517.21,0,0,1,0,0,0,0,2
08-Jul-08,4028.7,4028.7,3896.05,3988.55,40.15,135090953,6166.83,0,0,0,0,1,0,0,4
09-Jul-08,3990.9,4169.4,3990.9,4157.1,-166.2,144597409,6595.61,0,1,0,0,0,0,0,1
